ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,Test Case,"Verify ""Allow all"", ""Allow selection"", and ""Deny"" action buttons are displayed",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Inspect the action area of the cookies consent popup,"Allow all, Allow selection, and Deny action buttons should be displayed.",,,
,Test Case,"Verify clicking ""Allow all"" closes the cookies consent popup",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Click the Allow all button,Cookies consent popup should close and the consent choice should be applied.,,,
,Test Case,"Verify clicking ""Deny"" closes the cookies consent popup",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Click the Deny button,Cookies consent popup should close and consent should be denied.,,,
,Test Case,"Verify clicking ""Allow selection"" closes the cookies consent popup after optional category selection",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Select one or more optional cookie categories and click Allow selection,Cookies consent popup should close and only the selected categories should be applied.,,,
,Test Case,Verify user cannot change the Necessary cookie switch state,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Attempt to toggle the Necessary switch using click and keyboard interaction,Necessary switch state should remain unchanged and disabled.,,,
,Test Case,Verify cookies consent popup remains visible and aligned on a mobile viewport,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Resize the viewport to a mobile size such as 390x844 and review the login page,"Cookies consent popup should remain readable, stay aligned below the form, and avoid overlapping core login content.",,,
,Test Case,Verify keyboard-only navigation and focus order across cookies consent controls,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Use only the keyboard to move through the cookies consent popup and activate controls,Focus order should remain logical and all consent controls should be operable from the keyboard.,,,
,Test Case,Verify cookies consent popup does not break layout on different supported browsers,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chromium",Chromium Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Repeat the same login-page check in Firefox and WebKit,Cookies consent popup should render consistently across supported browsers without layout issues.,,,
,Test Case,Verify consent choice persists when the page is refreshed in the same session,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Choose any consent action and refresh the page in the same session,Previously chosen consent behavior should be retained and the popup should not reappear immediately.,,,
